Date,Open,High,Low,Close
04/19/2020,183.48,189.89,177.11,181.7
04/18/2020,170.84,185.17,169.76,183.47
04/17/2020,172.5,174.94,168.71,170.84
04/16/2020,157.77,174.14,148.49,172.5
04/15/2020,159.26,161.47,155.53,157.77
04/14/2020,157.7,162.06,155.69,159.28
04/13/2020,164.06,164.57,150.2,156.73
04/12/2020,154.79,165.4,154.5,163.91
04/11/2020,159.4,161.53,154.22,154.72
04/10/2020,170.29,171.14,152.85,159.09
04/09/2020,172.18,173.86,165.77,170.73
04/08/2020,163,174.5,162.71,172.12
04/07/2020,164,176.29,162.81,163.62
04/06/2020,142.38,167.36,142.02,164.09
04/05/2020,144.06,145.96,141.17,142.49
04/04/2020,140.75,146.56,139.17,143.7
04/03/2020,140.59,146.83,137.97,140.69
04/02/2020,132.33,150,131.92,140.95
04/01/2020,134.68,135.19,129.08,132.33
03/31/2020,134.04,135.35,130.35,134.68
03/30/2020,125.65,134.93,124.02,134.04
03/29/2020,131.02,132.64,124.01,125.59
03/28/2020,137.65,137.76,125.13,131.17
03/27/2020,136.78,141.82,134.75,137.43
03/26/2020,135.38,138.85,133.72,136.79
03/25/2020,139.89,142.76,133.48,135.45
03/24/2020,132.3,144.07,131.3,139.86
03/23/2020,124.27,137.66,120.65,132.2
03/22/2020,135.34,137.67,121.87,124.2
03/21/2020,125.36,137.99,124.77,135.46
03/20/2020,137.25,152.54,116.3,125.21
03/19/2020,116.47,140.51,115.35,137.25
03/18/2020,119.53,120.22,110.39,116.41
03/17/2020,109.35,121.09,107.38,119.22
03/16/2020,120.06,132.85,101.11,109.21
03/15/2020,127.32,129.2,120.1,120.1
03/14/2020,128.72,138.34,125.62,127.62
03/13/2020,127.78,142.63,89.98,128.62
03/12/2020,193.15,195.78,125.27,128.64
03/11/2020,202.94,203.5,182.02,192.7
03/10/2020,198.32,206.42,195.12,202.76
03/09/2020,209.6,212.06,190.57,198.36
03/08/2020,238.7,240.87,204.01,209.61
03/07/2020,240.83,252,236.76,238.78
03/06/2020,231.1,241.49,226.81,240.83
03/05/2020,222.8,234.6,222.8,231.1
03/04/2020,223.91,228.83,220.77,222.8
03/03/2020,232.48,233.16,220.31,223.91
03/02/2020,215.02,235.52,214.68,232.68
03/01/2020,223.51,227.6,212.4,214.38
02/29/2020,226.11,233.31,221.5,223.51
02/28/2020,226.55,234.37,214.33,226.49
02/27/2020,223.68,238,210.14,226.19
02/26/2020,249.9,252.88,216.31,223.79
02/25/2020,261.86,266.2,245.7,249.9
02/24/2020,271.69,278.01,257,261.86
02/23/2020,262.88,275.45,261.13,271.7
02/22/2020,263.21,266.97,257.18,262.88
02/21/2020,259.38,268.48,254.75,263.06
